ticker,date,close
RMD,2021-03-08,$179.46
RMD,2021-03-05,$185.05
RMD,2021-03-04,$183.05
RMD,2021-03-03,$190.21
RMD,2021-03-02,$193.21
RMD,2021-03-01,$195.62
RMD,2021-02-26,$192.78
RMD,2021-02-25,$194.98
RMD,2021-02-24,$200.97
RMD,2021-02-23,$200.09
RMD,2021-02-22,$200.02
RMD,2021-02-19,$201.18
RMD,2021-02-18,$199.88
RMD,2021-02-17,$199.73
RMD,2021-02-16,$194.10
RMD,2021-02-12,$200.55
RMD,2021-02-11,$200.53
RMD,2021-02-10,$200.40
RMD,2021-02-09,$199.86
RMD,2021-02-08,$201.55
RMD,2021-02-05,$202.17
RMD,2021-02-04,$204.06
RMD,2021-02-03,$203.21
RMD,2021-02-02,$206.67
RMD,2021-02-01,$202.67
RMD,2021-01-29,$201.57
RMD,2021-01-28,$215.93
RMD,2021-01-27,$214.06
RMD,2021-01-26,$222.28
RMD,2021-01-25,$221.68
RMD,2021-01-22,$215.52
RMD,2021-01-21,$217.07
RMD,2021-01-20,$217.96
RMD,2021-01-19,$214.90
RMD,2021-01-15,$211.62
RMD,2021-01-14,$213.28
RMD,2021-01-13,$216.48
RMD,2021-01-12,$216.88
RMD,2021-01-11,$220.30
RMD,2021-01-08,$218.94
RMD,2021-01-07,$215.26
RMD,2021-01-06,$213.21
RMD,2021-01-05,$214.61
RMD,2021-01-04,$212.18
RMD,2020-12-31,$212.56
RMD,2020-12-30,$209.72
RMD,2020-12-29,$211.26
RMD,2020-12-28,$211.43
RMD,2020-12-24,$212.42
RMD,2020-12-23,$209.98
RMD,2020-12-22,$211.67
RMD,2020-12-21,$213.47
RMD,2020-12-18,$218.45
RMD,2020-12-17,$213.73
RMD,2020-12-16,$210.51
RMD,2020-12-15,$208.65
RMD,2020-12-14,$206.38
RMD,2020-12-11,$204.53
RMD,2020-12-10,$208.73
RMD,2020-12-09,$211.77
RMD,2020-12-08,$212.11
RMD,2020-12-07,$209.21
RMD,2020-12-04,$209.69
RMD,2020-12-03,$207.40
RMD,2020-12-02,$209.26
RMD,2020-12-01,$211.61
RMD,2020-11-30,$209.60
RMD,2020-11-27,$209.64
RMD,2020-11-25,$206.03
RMD,2020-11-24,$206.53
RMD,2020-11-23,$209.57
RMD,2020-11-20,$211.02
RMD,2020-11-19,$211.76
RMD,2020-11-18,$211.07
RMD,2020-11-17,$214.15
RMD,2020-11-16,$215.54
RMD,2020-11-13,$214.74
RMD,2020-11-12,$212.79
RMD,2020-11-11,$215.83
RMD,2020-11-10,$212.11
RMD,2020-11-09,$220.59
RMD,2020-11-06,$214.19
RMD,2020-11-05,$212.81
RMD,2020-11-04,$209.42
RMD,2020-11-03,$202.46
RMD,2020-11-02,$196.80
RMD,2020-10-30,$191.94
RMD,2020-10-29,$179.51
RMD,2020-10-28,$180.66
RMD,2020-10-27,$184.85
RMD,2020-10-26,$180.53
RMD,2020-10-23,$183.03
RMD,2020-10-22,$182.82
RMD,2020-10-21,$179.13
RMD,2020-10-20,$179.43
RMD,2020-10-19,$179.41
RMD,2020-10-16,$180.79
RMD,2020-10-15,$179.60
RMD,2020-10-14,$177.81
RMD,2020-10-13,$177.66
RMD,2020-10-12,$177.43
RMD,2020-10-09,$176.12
RMD,2020-10-08,$172.70
RMD,2020-10-07,$170.70
RMD,2020-10-06,$167.65
RMD,2020-10-05,$170.81
RMD,2020-10-02,$167.50
RMD,2020-10-01,$169.51
RMD,2020-09-30,$171.43
RMD,2020-09-29,$172.66
RMD,2020-09-28,$172.00
RMD,2020-09-25,$169.04
RMD,2020-09-24,$168.14
RMD,2020-09-23,$168.70
RMD,2020-09-22,$172.26
RMD,2020-09-21,$171.51
RMD,2020-09-18,$170.01
RMD,2020-09-17,$172.89
RMD,2020-09-16,$174.06
RMD,2020-09-15,$175.55
RMD,2020-09-14,$174.43
RMD,2020-09-11,$172.00
RMD,2020-09-10,$172.06
RMD,2020-09-09,$174.68
RMD,2020-09-08,$171.42
RMD,2020-09-04,$173.56
RMD,2020-09-03,$177.86
RMD,2020-09-02,$183.00
RMD,2020-09-01,$178.91
RMD,2020-08-31,$180.78
RMD,2020-08-28,$180.23
RMD,2020-08-27,$180.68
RMD,2020-08-26,$180.08
RMD,2020-08-25,$179.09
RMD,2020-08-24,$176.42
RMD,2020-08-21,$179.37
RMD,2020-08-20,$180.97
RMD,2020-08-19,$183.43
RMD,2020-08-18,$183.03
RMD,2020-08-17,$183.20
RMD,2020-08-14,$176.78
RMD,2020-08-13,$177.51
RMD,2020-08-12,$175.84
RMD,2020-08-11,$172.98
RMD,2020-08-10,$175.15
RMD,2020-08-07,$173.24
RMD,2020-08-06,$175.52
RMD,2020-08-05,$202.96
RMD,2020-08-04,$202.77
RMD,2020-08-03,$202.00
RMD,2020-07-31,$202.51
RMD,2020-07-30,$204.46
RMD,2020-07-29,$204.10
RMD,2020-07-28,$202.23
RMD,2020-07-27,$205.63
RMD,2020-07-24,$202.44
RMD,2020-07-23,$204.06
RMD,2020-07-22,$205.33
RMD,2020-07-21,$204.40
RMD,2020-07-20,$203.01
RMD,2020-07-17,$199.00
RMD,2020-07-16,$195.82
RMD,2020-07-15,$197.55
RMD,2020-07-14,$195.04
RMD,2020-07-13,$188.09
RMD,2020-07-10,$192.09
RMD,2020-07-09,$193.69
RMD,2020-07-08,$192.72
RMD,2020-07-07,$191.47
RMD,2020-07-06,$193.62
RMD,2020-07-02,$192.48
RMD,2020-07-01,$190.86
RMD,2020-06-30,$192.00
RMD,2020-06-29,$188.32
RMD,2020-06-26,$185.63
RMD,2020-06-25,$186.30
RMD,2020-06-24,$181.86
RMD,2020-06-23,$181.95
RMD,2020-06-22,$179.11
RMD,2020-06-19,$172.72
RMD,2020-06-18,$173.74
RMD,2020-06-17,$172.40
RMD,2020-06-16,$168.99
RMD,2020-06-15,$163.75
RMD,2020-06-12,$160.69
RMD,2020-06-11,$158.20
RMD,2020-06-10,$166.50
RMD,2020-06-09,$161.49
RMD,2020-06-08,$162.83
RMD,2020-06-05,$160.84
RMD,2020-06-04,$160.81
RMD,2020-06-03,$161.81
RMD,2020-06-02,$159.76
RMD,2020-06-01,$161.12
RMD,2020-05-29,$160.82
RMD,2020-05-28,$158.82
RMD,2020-05-27,$153.71
RMD,2020-05-26,$160.48
RMD,2020-05-22,$161.35
RMD,2020-05-21,$160.68
RMD,2020-05-20,$161.76
RMD,2020-05-19,$162.57
RMD,2020-05-18,$167.17
RMD,2020-05-15,$164.12
RMD,2020-05-14,$162.96
RMD,2020-05-13,$164.37
RMD,2020-05-12,$167.15
RMD,2020-05-11,$169.28
RMD,2020-05-08,$162.75
RMD,2020-05-07,$160.70
RMD,2020-05-06,$159.93
RMD,2020-05-05,$159.41
RMD,2020-05-04,$154.78
RMD,2020-05-01,$159.07
RMD,2020-04-30,$155.32
RMD,2020-04-29,$156.31
RMD,2020-04-28,$158.22
RMD,2020-04-27,$162.77
RMD,2020-04-24,$161.00
RMD,2020-04-23,$158.73
RMD,2020-04-22,$160.92
RMD,2020-04-21,$157.35
RMD,2020-04-20,$164.28
RMD,2020-04-17,$165.16
RMD,2020-04-16,$161.32
RMD,2020-04-15,$160.17
RMD,2020-04-14,$163.67
RMD,2020-04-13,$157.19
RMD,2020-04-09,$159.82
RMD,2020-04-08,$155.16
RMD,2020-04-07,$153.68
RMD,2020-04-06,$158.30
RMD,2020-04-03,$152.97
RMD,2020-04-02,$150.13
RMD,2020-04-01,$142.29
RMD,2020-03-31,$147.29
RMD,2020-03-30,$154.21
RMD,2020-03-27,$141.95
RMD,2020-03-26,$146.52
RMD,2020-03-25,$135.71
RMD,2020-03-24,$135.06
RMD,2020-03-23,$121.36
RMD,2020-03-20,$114.34
RMD,2020-03-19,$136.10
RMD,2020-03-18,$151.75
RMD,2020-03-17,$161.43
RMD,2020-03-16,$137.93
RMD,2020-03-13,$149.73
RMD,2020-03-12,$136.12
RMD,2020-03-11,$153.61
RMD,2020-03-10,$161.71
RMD,2020-03-09,$154.50
RMD,2020-03-06,$166.08
RMD,2020-03-05,$170.75
RMD,2020-03-04,$174.82
RMD,2020-03-03,$165.24
RMD,2020-03-02,$168.75
RMD,2020-02-28,$158.96
RMD,2020-02-27,$162.72
RMD,2020-02-26,$165.92
RMD,2020-02-25,$165.81
RMD,2020-02-24,$169.83
RMD,2020-02-21,$173.88
RMD,2020-02-20,$176.00
RMD,2020-02-19,$176.62
RMD,2020-02-18,$174.80
RMD,2020-02-14,$176.60
RMD,2020-02-13,$174.88
RMD,2020-02-12,$172.76
RMD,2020-02-11,$174.35
RMD,2020-02-10,$173.19
RMD,2020-02-07,$171.46
RMD,2020-02-06,$170.51
RMD,2020-02-05,$167.74
RMD,2020-02-04,$166.85
RMD,2020-02-03,$163.14
RMD,2020-01-31,$158.97
RMD,2020-01-30,$165.44
RMD,2020-01-29,$165.84
RMD,2020-01-28,$163.30
RMD,2020-01-27,$160.62
RMD,2020-01-24,$162.39
RMD,2020-01-23,$161.39
RMD,2020-01-22,$164.38
RMD,2020-01-21,$161.94
RMD,2020-01-17,$160.57
RMD,2020-01-16,$160.73
RMD,2020-01-15,$158.72
RMD,2020-01-14,$158.32
RMD,2020-01-13,$158.27
RMD,2020-01-10,$156.89
RMD,2020-01-09,$157.58
RMD,2020-01-08,$156.27
RMD,2020-01-07,$155.15
RMD,2020-01-06,$156.03
RMD,2020-01-03,$155.29
RMD,2020-01-02,$156.11
RMD,2019-12-31,$154.97
RMD,2019-12-30,$154.59
RMD,2019-12-27,$156.20
RMD,2019-12-26,$155.79
RMD,2019-12-24,$156.70
RMD,2019-12-23,$155.69
RMD,2019-12-20,$155.93
RMD,2019-12-19,$156.04
RMD,2019-12-18,$156.02
RMD,2019-12-17,$156.48
RMD,2019-12-16,$156.00
RMD,2019-12-13,$153.63
RMD,2019-12-12,$152.25
RMD,2019-12-11,$150.48
RMD,2019-12-10,$148.98
RMD,2019-12-09,$149.32
RMD,2019-12-06,$150.59
RMD,2019-12-05,$150.18
RMD,2019-12-04,$150.15
RMD,2019-12-03,$149.47
RMD,2019-12-02,$149.01
RMD,2019-11-29,$149.60
RMD,2019-11-27,$150.83
RMD,2019-11-26,$149.58
RMD,2019-11-25,$146.31
RMD,2019-11-22,$145.25
RMD,2019-11-21,$146.34
RMD,2019-11-20,$149.64
RMD,2019-11-19,$149.39
RMD,2019-11-18,$147.78
RMD,2019-11-15,$147.10
RMD,2019-11-14,$145.42
